movie_title,movie_imdb_link,movie_facebook_likes,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
Star Wars: Episode VII - The Force Awakens,http://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,263000.0,J.J. Abrams,14000.0,Harrison Ford,11000.0,Mark Hamill,4400.0,Carrie Fisher,2000.0,41106.0
The Lone Ranger,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,48000.0,Gore Verbinski,565.0,Johnny Depp,40000.0,Armie Hammer,5400.0,William Fichtner,5800.0,66864.0
Avatar,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,33000.0,James Cameron,6900.0,Sam Worthington,5300.0,Zoe Saldana,8200.0,Sigourney Weaver,3900.0,35943.0
John Carter,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,24000.0,Andrew Stanton,475.0,Taylor Kitsch,5500.0,Lynn Collins,1800.0,Samantha Morton,635.0,29285.0
The Dark Knight Rises,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,164000.0,Christopher Nolan,22000.0,Christian Bale,23000.0,Gary Oldman,10000.0,Tom Hardy,27000.0,128114.0
Spectre,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,86000.0,Sam Mendes,2200.0,Daniel Craig,8300.0,Christoph Waltz,11000.0,La Seydoux,1700.0,45122.0
Pirates of the Caribbean: At World's End,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,5200.0,Gore Verbinski,565.0,Johnny Depp,40000.0,Geoffrey Rush,2900.0,Orlando Bloom,5000.0,72287.0
Tangled,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,29000.0,Nathan Greno,16.0,Mandy Moore,2100.0,Zachary Levi,3600.0,Donna Murphy,553.0,20284.0
Harry Potter and the Half-Blood Prince,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,10000.0,David Yates,287.0,Daniel Radcliffe,11000.0,Michael Gambon,2600.0,Dave Legeno,576.0,71772.0
The Hobbit: An Unexpected Journey,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,167000.0,Peter Jackson,8000.0,Ian McKellen,6200.0,Martin Freeman,5900.0,Richard Armitage,8500.0,29774.0
